user_id,variant,country_tier,device,traffic_source,exposure_date,completed_signup
1,control,tier_3,ios,organic,2025-07-01,1
2,treatment,tier_2,android,paid_social,2025-07-01,1
3,treatment,tier_3,ios,paid_social,2025-07-01,1
4,control,tier_1,android,paid_social,2025-07-01,1
5,control,tier_1,android,paid_social,2025-07-01,1
6,control,tier_1,ios,referral,2025-07-01,0
7,treatment,tier_1,android,paid_search,2025-07-01,1
8,control,tier_3,ios,organic,2025-07-01,1
9,treatment,tier_2,android,organic,2025-07-01,1
10,treatment,tier_2,ios,organic,2025-07-01,0
11,control,tier_2,android,paid_social,2025-07-01,1
12,treatment,tier_1,android,referral,2025-07-01,1
13,control,tier_3,android,organic,2025-07-01,1
14,treatment,tier_3,ios,paid_social,2025-07-01,0
15,control,tier_3,android,paid_social,2025-07-01,0
16,control,tier_2,ios,paid_search,2025-07-01,0
17,treatment,tier_2,ios,organic,2025-07-01,1
18,treatment,tier_3,android,paid_social,2025-07-01,1
19,control,tier_3,android,organic,2025-07-01,0
20,control,tier_1,ios,paid_search,2025-07-01,1
21,treatment,tier_2,ios,referral,2025-07-01,0
22,treatment,tier_2,android,paid_social,2025-07-01,1
23,control,tier_3,ios,paid_social,2025-07-01,1
24,control,tier_3,ios,organic,2025-07-01,1
25,treatment,tier_2,android,referral,2025-07-01,1
26,treatment,tier_2,ios,paid_social,2025-07-01,0
27,control,tier_3,android,referral,2025-07-01,0
28,treatment,tier_2,ios,referral,2025-07-01,1
29,control,tier_1,android,paid_social,2025-07-01,0
30,control,tier_1,android,paid_search,2025-07-01,1
31,control,tier_1,ios,paid_social,2025-07-01,0
32,treatment,tier_3,ios,organic,2025-07-01,0
33,treatment,tier_2,android,organic,2025-07-01,1
34,treatment,tier_3,ios,organic,2025-07-01,1
35,control,tier_3,ios,organic,2025-07-01,1
36,control,tier_3,ios,referral,2025-07-01,1
37,control,tier_1,ios,paid_social,2025-07-01,1
38,treatment,tier_1,android,paid_social,2025-07-01,1
39,treatment,tier_1,ios,paid_social,2025-07-01,1
40,control,tier_3,ios,organic,2025-07-01,0
41,treatment,tier_1,ios,referral,2025-07-01,1
42,control,tier_1,android,paid_social,2025-07-01,1
43,treatment,tier_3,ios,referral,2025-07-01,1
44,treatment,tier_3,ios,organic,2025-07-01,0
45,control,tier_1,ios,referral,2025-07-01,1
46,treatment,tier_1,ios,paid_social,2025-07-01,1
47,control,tier_1,android,paid_search,2025-07-01,1
48,control,tier_2,android,organic,2025-07-01,1
49,control,tier_2,android,paid_social,2025-07-01,0
50,treatment,tier_1,ios,paid_social,2025-07-01,1
51,treatment,tier_3,ios,referral,2025-07-01,1
52,treatment,tier_1,android,referral,2025-07-01,1
53,control,tier_3,android,paid_search,2025-07-01,1
54,control,tier_1,ios,organic,2025-07-01,1
55,control,tier_1,ios,organic,2025-07-01,0
56,treatment,tier_2,ios,paid_social,2025-07-01,1
57,treatment,tier_1,android,paid_social,2025-07-01,1
58,control,tier_2,ios,paid_search,2025-07-01,1
59,treatment,tier_1,android,paid_search,2025-07-01,1
60,control,tier_3,android,organic,2025-07-01,0
61,control,tier_2,ios,paid_social,2025-07-01,0
62,treatment,tier_2,ios,organic,2025-07-01,1
63,control,tier_2,android,organic,2025-07-01,0
64,treatment,tier_1,ios,organic,2025-07-01,1
65,treatment,tier_2,ios,paid_search,2025-07-01,1
66,treatment,tier_1,android,paid_social,2025-07-01,1
67,treatment,tier_3,ios,referral,2025-07-01,0
68,control,tier_2,ios,paid_search,2025-07-01,0
69,control,tier_3,android,referral,2025-07-01,1
70,treatment,tier_1,android,organic,2025-07-01,1
71,treatment,tier_1,ios,referral,2025-07-01,1
72,control,tier_2,android,paid_social,2025-07-01,1
73,treatment,tier_2,android,organic,2025-07-01,1
74,treatment,tier_2,android,organic,2025-07-01,1
75,treatment,tier_2,android,paid_social,2025-07-01,0
76,control,tier_2,android,paid_search,2025-07-01,1
77,control,tier_3,android,paid_search,2025-07-01,1
78,treatment,tier_2,android,referral,2025-07-01,0
79,control,tier_3,ios,paid_search,2025-07-01,1
80,control,tier_3,android,organic,2025-07-01,1
81,treatment,tier_3,android,paid_social,2025-07-01,1
82,control,tier_2,ios,organic,2025-07-01,1
83,control,tier_3,android,paid_search,2025-07-01,0
84,control,tier_1,android,paid_search,2025-07-01,0
85,control,tier_1,android,organic,2025-07-01,1
86,control,tier_3,android,paid_social,2025-07-01,1
87,control,tier_2,ios,organic,2025-07-01,1
88,control,tier_1,ios,organic,2025-07-01,1
89,control,tier_1,ios,paid_social,2025-07-01,0
90,control,tier_3,android,organic,2025-07-01,0
91,control,tier_1,ios,paid_social,2025-07-01,1
92,control,tier_2,android,referral,2025-07-01,0
93,treatment,tier_3,android,paid_search,2025-07-01,1
94,treatment,tier_3,android,paid_search,2025-07-01,1
95,control,tier_3,ios,referral,2025-07-01,1
96,control,tier_1,ios,organic,2025-07-01,1
97,control,tier_2,android,paid_social,2025-07-01,1
98,treatment,tier_2,ios,paid_social,2025-07-01,0
99,control,tier_1,android,paid_search,2025-07-01,0
